Data,VelocidadeMediaVento
2014-10-20,4.7
2014-10-21,4.133333
2014-10-22,4.7
2014-10-23,5.266667
2014-10-24,4.966667
2014-10-25,4.4
2014-10-26,4.433333
2014-10-27,4.966667
2014-10-28,4.5
2014-10-29,5.233333
2014-10-30,4.8
2014-10-31,5.0
2014-11-01,5.533333
2014-11-02,5.533333
2014-11-03,3.4666669999999997
2014-11-04,3.8666669999999996
2014-11-05,4.566667
2014-11-06,5.7
2014-11-07,4.0
2014-11-08,3.8666669999999996
2014-11-09,4.433333
2014-11-10,4.133333
2014-11-11,4.066667
2014-11-12,3.3
2014-11-13,3.3
2014-11-14,4.7
2014-11-15,3.566667
2014-11-16,2.3
2014-11-17,2.2
2014-11-18,2.9
2014-11-19,2.8
2014-11-20,3.833333
2014-11-21,4.3
2014-11-22,4.566667
2014-11-23,2.8666669999999996
2014-11-24,5.7
2014-11-25,3.933333
2014-11-26,4.133333
2014-11-27,2.166667
2014-11-28,3.166667
2014-11-29,4.466667
2014-11-30,4.433333
2014-12-01,5.233333
2014-12-02,5.6
2014-12-03,4.966667
2014-12-04,4.133333
2014-12-05,3.1333330000000004
2014-12-06,4.0
2014-12-07,3.8666669999999996
2014-12-08,4.6
2014-12-09,4.8
2014-12-10,3.233333
2014-12-11,3.8666669999999996
2014-12-12,5.533333
2014-12-13,3.8
2014-12-14,2.9666669999999997
2014-12-15,3.0
2014-12-16,4.1666669999999995
2014-12-17,3.0
2014-12-18,2.4
2014-12-19,4.133333
2014-12-20,2.9666669999999997
2014-12-21,4.2
2014-12-22,3.833333
2014-12-23,3.4666669999999997
2014-12-24,4.133333
2014-12-25,4.466667
2014-12-26,4.3
2014-12-27,3.4666669999999997
2014-12-28,4.433333
2014-12-29,3.5333330000000003
2014-12-30,4.7
2014-12-31,2.8666669999999996
2015-01-01,3.0
2015-01-02,2.8666669999999996
2015-01-03,3.3
2015-01-04,3.4
2015-01-05,3.333333
2015-01-06,4.4
2015-01-07,3.833333
2015-01-08,4.7
2015-01-09,5.1
2015-01-10,4.866667
2015-01-11,4.2
2015-01-12,4.8
2015-01-13,4.133333
2015-01-14,4.7
2015-01-15,4.933333
2015-01-16,4.3
2015-01-17,4.233333
2015-01-18,3.433333
2015-01-19,3.4666669999999997
2015-01-20,4.266667
2015-01-21,4.533333
2015-01-22,2.833333
2015-01-23,3.733333
2015-01-24,3.8666669999999996
2015-01-25,3.8
2015-01-26,4.3
2015-01-27,4.266667
2015-01-28,4.7
2015-01-29,3.3666669999999996
2015-01-30,2.8666669999999996
2015-01-31,4.366667
2015-02-01,4.066667
2015-02-02,4.6
2015-02-03,3.1333330000000004
2015-02-04,3.933333
2015-02-05,3.766667
2015-02-06,2.8666669999999996
2015-02-07,2.9
2015-02-08,5.033333
2015-02-09,4.266667
2015-02-10,6.033333
2015-02-11,4.8
2015-02-12,4.133333
2015-02-13,4.633333
2015-02-14,3.4
2015-02-15,2.4
2015-02-16,0.0
2015-02-17,4.8
2015-02-18,5.1666669999999995
2015-02-19,5.3333330000000005
2015-02-20,0.0
2015-02-21,2.8666669999999996
2015-02-22,3.4666669999999997
2015-02-23,3.8
2015-02-24,3.433333
2015-02-25,3.166667
2015-02-26,3.833333
2015-02-27,3.833333
2015-02-28,1.7666669999999998
2015-03-01,3.4
2015-03-02,1.2
2015-03-03,3.233333
2015-03-04,1.6
2016-01-16,5.1444
2016-01-29,1.02888
2016-02-05,3.5
2016-02-06,3.666667
2016-02-07,3.0333330000000003
2016-02-08,0.7
2016-02-09,4.433333
2016-02-10,1.366667
2016-02-11,3.3
2016-02-12,0.666667
2016-02-13,1.4
2016-02-14,1.533333
2016-02-15,4.533333
2016-02-16,2.45
2016-02-17,3.4666669999999997
2016-02-18,0.666667
2016-02-19,2.433333
2016-02-20,3.6
2016-02-21,3.1333330000000004
2016-02-22,3.4666669999999997
2016-02-23,1.666667
2016-02-24,3.5333330000000003
2016-02-25,3.733333
2016-02-26,4.466667
2016-02-27,4.6666669999999995
2016-02-28,3.566667
2016-02-29,2.6333330000000004
2016-03-01,3.8666669999999996
2016-03-02,3.433333
2016-03-03,0.0
2016-03-04,2.0333330000000003
2016-03-05,3.9666669999999997
2016-03-06,2.766667
2016-03-07,3.5333330000000003
2016-03-08,3.266667
2016-03-09,3.8666669999999996
2016-03-10,3.566667
2016-03-11,2.2
2016-03-12,2.6
2016-03-13,3.3666669999999996
2016-03-14,2.9666669999999997
2016-03-15,2.933333
2016-03-16,2.733333
2016-03-17,0.333333
2016-03-18,3.233333
2016-03-19,3.0333330000000003
2016-03-20,2.733333
2016-03-21,2.4
2016-03-22,2.1333330000000004
2016-03-23,2.5333330000000003
2016-03-24,2.7
2016-03-25,3.2
2016-03-26,3.0333330000000003
2016-03-27,2.8666669999999996
2016-03-28,3.5
2016-03-29,1.366667
2016-03-30,1.333333
2016-03-31,2.4666669999999997
2016-04-01,0.533333
2016-04-02,3.4
2016-04-03,0.033333
2016-04-04,2.3
2016-04-05,1.9666669999999997
2016-04-06,3.2
2016-04-07,3.4666669999999997
2016-04-08,2.266667
2016-04-09,2.733333
2016-04-10,2.3
2016-04-11,3.566667
2016-04-12,3.4666669999999997
2016-04-13,1.9
2016-04-14,1.8666669999999999
2016-04-15,2.3666669999999996
2016-04-16,1.633333
2016-04-17,1.7333330000000002
2016-04-18,3.5
2016-04-19,3.0333330000000003
2016-04-20,2.933333
2016-04-21,3.8666669999999996
2016-04-22,2.4
2016-04-23,3.3
2016-04-24,2.5
2016-04-25,4.033333
2016-04-26,2.166667
2016-04-27,4.4
2016-04-28,3.6333330000000004
2016-04-29,3.1
2016-04-30,3.0
2016-05-01,0.666667
2016-05-02,3.3
2016-05-03,1.666667
2016-05-04,2.733333
2016-05-05,0.533333
2016-05-06,2.3666669999999996
2016-05-07,3.833333
2016-05-08,2.8666669999999996
2016-05-09,2.3
2016-05-10,2.3666669999999996
2016-05-11,0.23333299999999998
2016-05-12,1.6
2016-05-13,1.7333330000000002
2016-05-14,3.6333330000000004
2016-05-15,3.733333
2016-05-16,3.2
2016-05-17,2.6333330000000004
2016-05-18,2.5
2016-05-19,3.4
2016-05-20,1.9333330000000002
2016-05-21,2.6
2016-05-22,2.733333
2016-05-23,0.166667
2016-05-24,0.0
2016-05-25,2.4
2016-05-26,1.2
2016-05-27,2.333333
2016-05-28,2.2
2016-05-29,1.8666669999999999
2016-05-30,1.366667
2016-05-31,3.333333
2016-06-01,2.4666669999999997
2016-06-02,2.0
2016-06-03,2.2
2016-06-04,1.7
2016-06-05,1.333333
2016-06-06,0.0
2016-06-07,2.4666669999999997
2016-06-08,1.366667
2016-06-09,1.833333
2016-06-10,3.2
2016-06-11,3.0333330000000003
2016-06-12,2.733333
2016-06-13,3.3
2016-06-14,2.2
2016-06-15,2.2
2016-06-16,2.433333
2016-06-17,1.9
2016-06-18,1.2
2016-06-19,2.766667
2016-06-20,1.433333
2016-06-21,3.2
2016-06-22,1.433333
2016-06-23,0.1
2016-06-24,2.433333
2016-06-25,3.433333
2016-06-26,2.2
2016-06-27,1.466667
2016-06-28,3.6333330000000004
2016-06-29,3.0333330000000003
2016-06-30,2.3666669999999996
2016-07-01,3.066667
2016-07-02,3.3
2016-07-03,3.566667
2016-07-04,2.333333
2016-07-05,2.1333330000000004
2016-07-06,2.6333330000000004
2016-07-07,2.5333330000000003
2016-07-08,3.4
2016-07-09,2.166667
2016-07-10,2.6333330000000004
2016-07-11,2.8666669999999996
2016-07-12,2.733333
2016-07-13,3.3
2016-07-14,3.0333330000000003
2016-07-15,2.933333
2016-07-16,1.9
2016-07-17,0.966667
2016-07-18,1.8
2016-07-19,2.6
2016-07-20,2.4666669999999997
2016-07-21,2.666667
2016-07-22,3.5333330000000003
2016-07-23,2.9
2016-07-24,2.8
2016-07-25,3.0333330000000003
2016-07-26,4.0
2016-07-27,4.133333
2016-07-28,3.333333
2016-07-29,2.766667
2016-07-30,3.7
2016-07-31,4.0
2016-08-01,4.3333330000000005
2016-08-02,3.8
2016-08-03,4.6666669999999995
2016-08-04,4.7
2016-08-05,4.4
2016-08-06,3.8666669999999996
2016-08-07,3.3
2016-08-08,3.3
2016-08-09,3.433333
2016-08-10,2.8666669999999996
2016-08-11,3.8666669999999996
2016-08-12,3.733333
2016-08-13,2.2
2016-08-14,2.6333330000000004
2016-08-15,1.8
2016-08-16,3.3
2016-08-17,3.0333330000000003
2016-08-18,1.633333
2016-08-19,2.6
2016-08-20,0.0
2016-08-21,2.1
2016-08-22,1.4
2016-08-23,2.166667
2016-08-24,2.0333330000000003
2016-08-25,1.666667
2016-08-26,2.45
2016-08-27,2.2
2016-08-28,1.433333
2016-08-29,1.633333
2016-08-30,1.9
2016-08-31,2.2
2016-09-01,4.3
2016-09-02,1.7666669999999998
2016-09-03,3.566667
2016-09-04,1.1
2016-09-05,2.2
2016-09-06,4.433333
2016-09-07,2.4666669999999997
2016-09-08,0.0
2016-09-09,1.2
2016-09-10,0.0
2016-09-11,0.833333
2016-09-12,2.5333330000000003
2016-09-13,4.7
2016-09-14,5.433333
2016-09-15,4.466667
2016-09-16,3.433333
2016-09-17,3.3
2016-09-18,3.6
2016-09-19,3.1
2016-09-20,3.3
2016-09-21,3.3
2016-09-22,3.5333330000000003
2016-09-23,4.033333
2016-09-24,4.933333
2016-09-25,3.8666669999999996
2016-09-26,3.566667
2016-09-27,4.033333
2016-09-28,4.933333
2016-09-29,4.233333
2016-09-30,3.2
2016-10-01,5.0
2016-10-02,5.566667
2016-10-03,5.266667
2016-10-04,5.6
2016-10-05,4.5
2016-10-06,3.6
2016-10-07,2.166667
2016-10-08,3.766667
2016-10-09,4.466667
2016-10-10,5.966667
2016-10-11,5.133333
2016-10-12,2.333333
2016-10-13,3.3
2016-10-14,5.3
2016-10-15,4.966667
2016-10-16,3.3
2016-10-17,4.966667
2016-10-18,4.8
2016-10-19,3.8666669999999996
2016-10-20,4.2
2016-10-21,3.3
2016-10-22,3.3
